Product Name,Product Link,Breadcrumbs,Raw Text
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---mp6-deep-wine/13105598/buy,Home > Personal Care > Lipstick,4.3 | | | 217.2k | Lakme | Powerplay Priming Lipstick | Rs. 429Rs. 650(34% OFF)
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-hue-/11757178/buy,Home > Personal Care > Lipstick,4.4 | | | 127.3k | AD | Lakme | Forever Matte Lip Colour | Rs. 315Rs. 450(30% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof-smudgeproof-lipstick--forbidden-pink-13/30593172/buy,Home > Personal Care > Lipstick,4.3 | | | 6.7k | Pilgrim | Matte Bullet Lipstick - 13 | Rs. 476Rs. 595(20% OFF)
4.4 |,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-gel-lip--cheek-tint-lipstick-9-g---cherry-ade-02/20474268/buy,Home > Personal Care > Lipstick,4.4 | | | 16.9k | ETUDE | Dear Darling Water Tint - 02 | Rs. 405Rs. 450(10% OFF)
4.4 |,https://www.myntra.com/lipstick/kiro/kiro-lush-moist-matte-long-lasting-lipstick---nude-garnet-06/18127722/buy,Home > Personal Care > Lipstick,4.4 | | | 606 | AD | KIRO | Lush Moist Matte Lipstick - 06 | Rs. 480Rs. 800(40% OFF)
4.4 |,https://www.myntra.com/lipstick/earth+rhythm/earth-rhythm-lip--cheek-tint-with-pomegranate-flower-extracts--jojoba-oil---brandy-5-ml/14543600/buy,Home > Personal Care > Lipstick,4.4 | | | 9.4k | Earth Rhythm | Lip & Cheek Tint - Brandy 5 ml | Rs. 499
4.4 |,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---red-grapefruit-ade-4/27916434/buy,Home > Personal Care > Lipstick,4.4 | | | 17k | ETUDE | Dear Darling Water Tint - 4 | Rs. 405Rs. 450(10% OFF)
4 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-liquid-lip-color-with-vit-e-42ml---everyday-pink-mp1-/18899718/buy,Home > Personal Care > Lipstick,4 | | | 34.9k | AD | Lakme | 9to5 Primer Lip Color - MP1 | Rs. 399Rs. 499(20% OFF) | Only Few Left!
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--her-highness-08/31826198/buy,Home > Personal Care > Lipstick,4.3 | | | 4.4k | Pilgrim | Dubai Bling Lipstick- 08 | Rs. 516Rs. 645(20% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-superstay-matte-ink-matte-liquid-lipstick-5ml---warrior/36086469/buy,Home > Personal Care > Lipstick,4.5 | | | 176.9k | Maybelline | Liquid Lipstick - Warrior | Rs. 411Rs. 749(45% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-creamy-matte-lipstick---657-nude-nuance---39g/11581508/buy,Home > Personal Care > Lipstick,4.5 | | | 19.3k | AD | Maybelline | Nude Nuance Matte Lipstick 657 | Rs. 210Rs. 329(36% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-5-ml---pioneer-20/2230636/buy,Home > Personal Care > Lipstick,4.5 | | | 176.9k | Maybelline | Super Stay Matte - Pioneer 20 | Rs. 367Rs. 749(51% OFF)
4.4 |,https://www.myntra.com/lipstick/mars/mars-set-of-3-matte-lipsticks-box---browns-04/17723176/buy,Home > Personal Care > Lipstick,4.4 | | | 20.1k | MARS | Sizes: 8-10 ML | Rs. 339Rs. 447(24% OFF) | WISHLIST
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---wine-touch-/11131086/buy,Home > Personal Care > Lipstick,4.4 | | | 127.3k | AD | Lakme | Forever Matte Liquid Lip | Rs. 400Rs. 450(11% OFF)
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-36g---lasts-16hrs---burgundy-passion/14095434/buy,Home > Personal Care > Lipstick,4.3 | | | 217.2k | Lakme | Powerplay Priming Lipstick | Rs. 429Rs. 650(34% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof--smudgeproof-lipstick---nude-kiss-31/30593162/buy,Home > Personal Care > Lipstick,4.3 | | | 6.7k | Pilgrim | Matte Bullet Lipstick - 31 | Rs. 476Rs. 595(20% OFF)
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-charm-/20616902/buy,Home > Personal Care > Lipstick,4.4 | | | 127.3k | AD | Lakme | Forever Matte Lip Colour | Rs. 405Rs. 450(10% OFF)
4.3 |,https://www.myntra.com/lipstick/parul+garg/parul-garg-smudge-proof-matte-lipstick-with-shea-butter--vitamin-e-primrose-deep-maroon-3ml/32967274/buy,Home > Personal Care > Lipstick,4.3 | | | 1.1k | Parul Garg | Silk Matte Liquid Lipstick-3ml | Rs. 500Rs. 595(16% OFF)
4.2 |,https://www.myntra.com/lipstick/mars/mars-brown-smudge-wont-budge-lip-crayon/15792264/buy,Home > Personal Care > Lipstick,4.2 | | | 15.7k | MARS | Brown Lip Crayon | Rs. 248Rs. 279(11% OFF)
4.3 |,https://www.myntra.com/lipstick/daily+life+forever52/daily-life-forever52-sensational-long-lasting-liquid-lipstick-6ml---electric-orchid-002/25633778/buy,Home > Personal Care > Lipstick,4.3 | | | 1.7k | AD | Daily Life Forever52 | Sensational Lipstick 6ml - 002 | Rs. 339Rs. 399(15% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--royal-noor-05/31826190/buy,Home > Personal Care > Lipstick,4.3 | | | 4.4k | Pilgrim | Dubai Bling Lipstick- 05 | Rs. 516Rs. 645(20% OFF)
4.2 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---ruby-crush/28546558/buy,Home > Personal Care > Lipstick,4.2 | | | 13.8k | Mamaearth | Creamy Matte Ruby Crush | Rs. 239Rs. 399(40% OFF)
2.8 |,https://www.myntra.com/lipstick/daily+life+forever52/daily-life-forever52-satin-finish-liquid-lip-paint---4-g---soft-clay/37375220/buy,Home > Personal Care > Lipstick,2.8 | | | 10 | AD | Daily Life Forever52 | Satin Finish Liquid Lip Paint | Rs. 501Rs. 649(23% OFF)
3.7 |,https://www.myntra.com/lipstick/nandiayan/nandiayan-set-of-6-long-lasting-liquid-lipstick---4ml-each/32619374/buy,Home > Personal Care > Lipstick,3.7 | | | 1.3k | nandiayan | 6 Pieces Lipsticks - 4ml Each | Rs. 286Rs. 999(71% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-glitter-lipstick-luxurious-3d-formula-with-matte-finish---42-g---my-habibi-07-/31826187/buy,Home > Personal Care > Lipstick,4.3 | | | 4.4k | Pilgrim | Glitter Lipstick - 07 | Rs. 516Rs. 645(20% OFF)
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-hya-matte-liquid-lipstick-with-vitamin-e-53ml---afterhours-wine-h10/32683846/buy,Home > Personal Care > Lipstick,4.3 | | | 1.1k | AD | Lakme | Hya Matte Lipstick - H10 | Rs. 559Rs. 799(30% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-5-ml---artist-120/8051031/buy,Home > Personal Care > Lipstick,4.5 | | | 176.8k | Maybelline | Super Stay Matte Ink - Artist | Rs. 591Rs. 749(21% OFF)
4.3 |,https://www.myntra.com/lipstick/mars/mars-matte-muse-lightweight-mousse-lipstick-3ml---super-star/32051427/buy,Home > Personal Care > Lipstick,4.3 | | | 7.4k | MARS | Matte Muse Mousse Lipstick | Rs. 269Rs. 299(10% OFF)
4 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-nourishing-natural-lip-cheek--eye-tint-with-vitamin-c--rose-4g---rose-pink-03/21555910/buy,Home > Personal Care > Lipstick,4 | | | 1.8k | AD | Mamaearth | Lip Cheek & Eye Tint- 03 | Rs. 239Rs. 399(40% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-superstay-vinyl-ink-liquid-lipstick-45-ml---lippy/19444472/buy,Home > Personal Care > Lipstick,4.5 | | | 55.1k | AD | Maybelline | Superstay Lipstick - Lippy | Rs. 526Rs. 849(38% OFF)
4.4 |,https://www.myntra.com/lipstick/faces+canada/faces-canada-comfy-matte-wow-liquid-lipstick---38ml---cocoa-crush-07/29905122/buy,Home > Personal Care > Lipstick,4.4 | | | 12.1k | FACES CANADA | Comfy Matte Wow Lipstick-07 | Rs. 249Rs. 299(17% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--arabian-nites-04/31826192/buy,Home > Personal Care > Lipstick,4.3 | | | 4.4k | Pilgrim | Dubai Bling Lipstick- 04 | Rs. 516Rs. 645(20% OFF)
4.4 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-creamy-matte-lipstick---touch-of-spice-660/1963297/buy,Home > Personal Care > Lipstick,4.4 | | | 108.9k | AD | TRENDING | Maybelline | 660 Touch Of Spice Lipstick | Rs. 207Rs. 329(37% OFF)
4.4 |,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-gel-lip--cheek-tint-lipstick-9-g---cherry-ade-02/20474268/buy,Home > Personal Care > Lipstick,4.4 | | | 16.9k | ETUDE | Dear Darling Water Tint - 02 | Rs. 405Rs. 450(10% OFF)
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-dream/11131116/buy,Home > Personal Care > Lipstick,4.4 | | | 127.4k | Lakme | Forever Matte Liquid Lip | Rs. 315Rs. 450(30% OFF)
4.3 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-12-hour-long-stay-mini-lipstick---07-g---03-candyfloss-pink/31082012/buy,Home > Personal Care > Lipstick,4.3 | | | 6.6k | AD | Mamaearth | Moisture Matte Candyfloss Pink | Rs. 314Rs. 349(10% OFF)
4.4 |,https://www.myntra.com/lipstick/etude/etude-dear-darling-water-tint-9g---red-grapefruit-ade-4/27916434/buy,Home > Personal Care > Lipstick,4.4 | | | 17k | ETUDE | Dear Darling Water Tint - 4 | Rs. 405Rs. 450(10% OFF)
4.2 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---42g---cranberry-crush/28546544/buy,Home > Personal Care > Lipstick,4.2 | | | 13.8k | Mamaearth | Creamy Matte Cranberry Crush | Rs. 359Rs. 399(10% OFF)
4.4 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-sensational-liquid-matte-lipstick---21-nude-nuance---7ml/14940628/buy,Home > Personal Care > Lipstick,4.4 | | | 80.5k | AD | Maybelline | Liquid Lipstick - Nude Nuance | Rs. 274Rs. 429(36% OFF)
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---mp6-deep-wine/13105598/buy,Home > Personal Care > Lipstick,4.3 | | | 217.2k | Lakme | Powerplay Priming Lipstick | Rs. 429Rs. 650(34% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-matte-bullet-intense-colour-transferproof-smudgeproof-lipstick--forbidden-pink-13/30593172/buy,Home > Personal Care > Lipstick,4.3 | | | 6.7k | Pilgrim | Matte Bullet Lipstick - 13 | Rs. 476Rs. 595(20% OFF)
4.2 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---pillow-nude/28546564/buy,Home > Personal Care > Lipstick,4.2 | | | 13.8k | AD | Mamaearth | Creamy Matte Pillow Nude | Rs. 239Rs. 399(40% OFF)
4.4 |,https://www.myntra.com/lipstick/earth+rhythm/earth-rhythm-lip--cheek-tint-with-pomegranate-flower-extracts--jojoba-oil---brandy-5-ml/14543600/buy,Home > Personal Care > Lipstick,4.4 | | | 9.4k | Earth Rhythm | Lip & Cheek Tint - Brandy 5 ml | Rs. 499
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--her-highness-08/31826198/buy,Home > Personal Care > Lipstick,4.3 | | | 4.4k | Pilgrim | Dubai Bling Lipstick- 08 | Rs. 516Rs. 645(20% OFF)
4.2 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-creamy-matte-long-stay-lipstick-with-murumuru-butter---apricot-taupe/28546552/buy,Home > Personal Care > Lipstick,4.2 | | | 13.8k | AD | Mamaearth | Creamy Matte Apricot Taupe | Rs. 239Rs. 399(40% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-superstay-matte-ink-matte-liquid-lipstick-5ml---warrior/36086469/buy,Home > Personal Care > Lipstick,4.5 | | | 176.9k | Maybelline | Liquid Lipstick - Warrior | Rs. 411Rs. 749(45% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-superstay-matte-ink-liquid-lipstick---230-transformer---5ml/8051027/buy,Home > Personal Care > Lipstick,4.5 | | | 176.9k | Maybelline | Super Stay Matte - Transformer | Rs. 471Rs. 749(37% OFF)
4.3 |,https://www.myntra.com/lipstick/mamaearth/mamaearth-moisture-matte-longstay-lipstick-with-avocado-oil--vitamin-e--carnation-nude-01/16863252/buy,Home > Personal Care > Lipstick,4.3 | | | 17.5k | AD | Mamaearth | Moisture Matte Carnation Nude | Rs. 587Rs. 599(2% OFF)
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-36g---lasts-16hrs---burgundy-passion/14095434/buy,Home > Personal Care > Lipstick,4.3 | | | 217.2k | Lakme | Powerplay Priming Lipstick | Rs. 429Rs. 650(34% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-5-ml---founder-115/8051025/buy,Home > Personal Care > Lipstick,4.5 | | | 176.9k | Maybelline | Super Stay Matte - Founder 115 | Rs. 404Rs. 749(46% OFF)
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-hue-/11757178/buy,Home > Personal Care > Lipstick,4.4 | | | 127.3k | AD | Lakme | Forever Matte Lip Colour | Rs. 315Rs. 450(30% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-color-sensational-creamy-matte-lipstick---657-nude-nuance---39g/11581508/buy,Home > Personal Care > Lipstick,4.5 | | | 19.3k | Maybelline | Nude Nuance Matte Lipstick 657 | Rs. 210Rs. 329(36% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-3-d-glitter-formula-with-matte-finish-lipstick--42-g--chic-haseena-06/31826196/buy,Home > Personal Care > Lipstick,4.3 | | | 4.4k | Pilgrim | Lipstick- Chic Haseena-06 | Rs. 516Rs. 645(20% OFF)
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---nude-charm-/20616902/buy,Home > Personal Care > Lipstick,4.4 | | | 127.3k | AD | Lakme | Forever Matte Lip Colour | Rs. 405Rs. 450(10% OFF)
4.3 |,https://www.myntra.com/lipstick/lakme/lakme-9to5-powerplay-priming-matte-lipstick-with-vit-e-lasts-16hr-36g---mr5-berry-base-/13105594/buy,Home > Personal Care > Lipstick,4.3 | | | 217.2k | Lakme | Powerplay Priming Lipstick | Rs. 533Rs. 650(18% OFF)
4.3 |,https://www.myntra.com/lipstick/pilgrim/pilgrim-dubai-bling-3d-glitter-formula-with-matte-finish-lipstick--42-g--royal-noor-05/31826190/buy,Home > Personal Care > Lipstick,4.3 | | | 4.4k | Pilgrim | Dubai Bling Lipstick- 05 | Rs. 516Rs. 645(20% OFF)
4.3 |,https://www.myntra.com/lipstick/daily+life+forever52/daily-life-forever52-sensational-long-lasting-liquid-lipstick-6ml---electric-orchid-002/25633778/buy,Home > Personal Care > Lipstick,4.3 | | | 1.7k | AD | Daily Life Forever52 | Sensational Lipstick 6ml - 002 | Rs. 339Rs. 399(15% OFF)
4.4 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-sensational-liquid-matte-lipstick-7-ml---made-easy-11/11178078/buy,Home > Personal Care > Lipstick,4.4 | | | 80.4k | Maybelline | Matte Lipstick - Made Easy 11 | Rs. 394Rs. 429(8% OFF)
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16hr-liquid-lipstick-56ml---wine-touch-/11131086/buy,Home > Personal Care > Lipstick,4.4 | | | 127.3k | Lakme | Forever Matte Liquid Lip | Rs. 400Rs. 450(11% OFF)
2.8 |,https://www.myntra.com/lipstick/daily+life+forever52/daily-life-forever52-satin-finish-liquid-lip-paint---4-g---soft-clay/37375220/buy,Home > Personal Care > Lipstick,2.8 | | | 10 | AD | Daily Life Forever52 | Satin Finish Liquid Lip Paint | Rs. 501Rs. 649(23% OFF)
4.5 |,https://www.myntra.com/lipstick/maybelline/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-5-ml---pioneer-20/2230636/buy,Home > Personal Care > Lipstick,4.5 | | | 176.9k | Maybelline | Super Stay Matte - Pioneer 20 | Rs. 367Rs. 749(51% OFF)
4.4 |,https://www.myntra.com/lipstick/lakme/lakme-forever-matte-lightweight--transferproof-16h-liquid-lipstick-56ml---brown-espresso/11131108/buy,Home > Personal Care > Lipstick,4.4 | | | 127.3k | Lakme | Forever Matte Liquid Lip | Rs. 400Rs. 450(11% OFF)
